Day;eggsLaid;eggInHive;Larva;Pupa;Worker;Drone;Death;Birth;HoneyStock;Flower1Pollen;Flower2Pollen;Flower3Pollen
1;13;13;0;0;100;0;0;0;3239.0;16740;41200;8390
2;34;47;0;0;100;0;0;0;3469.0;16920;41550;8230
3;45;92;0;0;100;0;0;0;3718.0;17020;40550;8380
4;45;124;13;0;100;0;0;13;3949.5;16880;41200;8320
5;34;124;47;0;100;0;0;47;4166.0;16540;41300;8470
6;33;112;92;0;100;0;0;92;4357.0;16600;41400;8420
7;13;80;137;0;100;0;0;137;4524.5;16660;41400;8390
8;11;57;171;0;100;0;0;171;4666.0;16400;42050;8390
9;50;74;204;0;100;0;0;204;4816.0;16740;40550;8520
10;36;97;204;13;100;0;0;217;4953.0;16940;41100;8310
11;42;128;181;47;100;0;0;228;5091.5;16420;41900;8410
12;42;120;186;92;100;0;0;278;5232.5;16620;41550;8380
13;16;100;177;137;100;0;0;314;5371.0;16820;41750;8240
14;48;106;185;171;0;0;100;356;5276.5;20000;50000;10000
15;34;98;194;204;0;0;100;398;5177.5;20000;50000;10000
16;22;104;197;217;0;0;100;414;5077.0;20000;50000;10000
17;41;97;234;228;0;0;100;462;4958.0;20000;50000;10000
18;17;80;218;278;0;0;100;496;4847.0;20000;50000;10000
19;12;70;204;314;0;0;100;518;4743.0;20000;50000;10000
20;42;71;203;343;11;2;100;546;4663.5;19760;48950;9780
21;38;92;178;351;37;10;100;529;4653.5;18780;46650;9430
22;50;130;174;322;79;13;100;496;4737.5;17320;43350;8720
23;24;112;168;325;121;16;100;493;4910.5;16020;40250;7890
24;16;90;172;325;148;23;100;497;5133.5;14800;38400;7520
25;44;84;200;314;176;28;100;514;5426.5;14060;34750;7220
26;32;92;183;342;186;31;100;525;5734.0;13480;34800;7000
27;17;93;182;348;197;31;100;530;6052.0;13160;34600;6650
28;42;91;214;310;238;40;100;524;6466.0;11720;30000;6240
29;26;85;204;316;268;46;100;520;6945.0;10840;27600;5660
30;47;115;183;312;306;50;100;495;7501.5;9660;25250;4820
31;18;91;175;320;344;54;100;495;8186.0;9020;19750;4340
32;39;80;177;328;360;54;100;505;8868.5;7480;20950;4070
33;40;33;208;296;399;63;100;504;9630.5;7260;16400;3140
34;16;15;182;306;431;65;100;488;10480.5;5960;13750;2720
35;43;0;165;316;440;65;113;481;11347.0;5660;13650;2440
36;42;13;148;292;449;63;147;440;12261.0;4880;12400;2630
37;39;47;106;317;423;61;192;423;13116.0;5480;15800;2950
38;12;59;80;331;392;59;237;411;13911.0;7260;18050;3160
39;34;80;46;336;401;58;271;382;14789.0;6780;15200;3520
40;27;73;62;316;409;55;304;378;15647.0;6120;16450;3200
41;16;77;59;281;443;58;317;340;16599.5;5920;12200;2450
42;25;68;93;257;453;61;328;350;17546.0;4520;12500;2590
43;47;88;120;241;427;53;378;361;18413.0;5360;15350;2900
44;10;82;136;197;437;51;414;333;19302.0;5800;13800;2490
45;25;82;148;178;429;49;456;326;20159.0;4860;15700;2980
46;21;56;161;195;406;47;498;356;21000.5;6560;14900;3440
47;50;96;159;165;428;51;514;324;21873.0;4880;14550;3250
48;44;115;150;173;414;43;562;323;22716.0;6440;15500;2980
49;32;126;144;153;424;46;596;297;23566.0;5840;15650;2750
50;18;94;178;151;419;47;618;329;24400.0;6900;14800;2640
51;17;67;197;161;396;44;659;358;25171.5;6220;17750;3540
